protocol,network,chainId,vault,vaultAddress,market,collateralToken,loanToken,oracle,LLTV,totalSupplyAssets,totalBorrowAssets,borrowRate,supplyRate
morpho,Ethereum,1,Re7 WETH,0x78Fc2c2eD1A4cDb5402365934aE5648aDAd094d0,0xc54d7acf14de29e0e5527cabd7a576506870346a78a11a6762e2cca66322ec41,Wrapped liquid staked Ether 2.0,Wrapped Ether,0x2a01EB9496094dA03c4E364Def50f5aD1280AD72,94.50,15657284699655113470,14261254459375464850,2.2130,2.0156
morpho,Ethereum,1,Re7 WETH,0x78Fc2c2eD1A4cDb5402365934aE5648aDAd094d0,0x5f8a138ba332398a9116910f4d5e5dcd9b207024c5290ce5bc87bc2dbd8e4a86,ETHPlus,Wrapped Ether,0x0705CDc1e56f837D7F97Bc2bAE36bE3670dA02C0,94.50,5263766392242186748645,4283896620431170958549,2.2596,1.8389
morpho,Ethereum,1,Re7 USDT,0x95EeF579155cd2C5510F312c8fA39208c3Be01a8,0xdc5333039bcf15f1237133f74d5806675d83d9cf19cfd4cfdd9be674842651bf,Staked USDe,Tether USD,0xE47E36457D0cF83A74AE1e45382B7A044f7abd99,91.50,262142713541,230887591954,3.9896,3.5136
morpho,Ethereum,1,Re7 USDT,0x95EeF579155cd2C5510F312c8fA39208c3Be01a8,0xcec858380cba2d9ca710fce3ce864d74c3f620d53826f69d08508902e09be86f,USDe,Tether USD,0xAf5060C11D3E8325a8ECF84c07fAB7Ac2297A72d,91.50,520851616,458750781,0.4903,0.4318
morpho,Ethereum,1,Re7 USDT,0x95EeF579155cd2C5510F312c8fA39208c3Be01a8,0x1ca7ff6b26581fe3155f391f3960d32a033b5f7d537b1f1932b2021a6cf4f706,Savings Dai,Tether USD,0x7538C68d863b28E34b986C1E8daFEDa31D824923,94.50,1324476,953059,0.7853,0.5650
morpho,Ethereum,1,Re7 Falcon USDf,0x4d52545235A3dF246a8928c583E47AE7eeC4aCfE,0x2e09b73c35e0769bdf589a9556e6ac3c892485ea502ac8c445cec9e79b0378af,Staked Falcon USD,Falcon USD,0x84bf7A62708108fA640292684F04b0f7362C88F9,91.50,164284409643743589993323,147522728570094243394682,3.2368,2.9063
morpho,Ethereum,1,Re7 Falcon USDf,0x4d52545235A3dF246a8928c583E47AE7eeC4aCfE,0x06cd324a963c18a7c046be97dba2a4af9b82f0ca3a2e451a38ccfb9c76667e5f,PT Staked Falcon USD 25SEP2025,Falcon USD,0x893FE4c073cB634b6eCF7eDc6917266ae188036b,91.50,0,0,0.0250,0.0000
morpho,Ethereum,1,Re7 USDC Prime,0x64964E162Aa18d32f91eA5B24a09529f811AEB8e,0xb323495f7e4148be5643a4ea4a8221eef163e4bccfdedc2a6f4696baacbc86cc,Wrapped liquid staked Ether 2.0,USD Coin,0x48F7E36EB6B826B2dF4B2E630B62Cd25e89E40e2,86.00,60384344283049,54208807238610,3.8769,3.4803
morpho,Ethereum,1,Re7 USDC Prime,0x64964E162Aa18d32f91eA5B24a09529f811AEB8e,0xdcfd3558f75a13a3c430ee71df056b5570cbd628da91e33c27eec7c42603247b,Savings USDS,USD Coin,0x6f2B373A397464090645c726eE6685123afEE36f,94.50,13824695,7750573,276.7552,155.1490
morpho,Ethereum,1,Re7 FRAX,0xBE40491F3261Fd42724F1AEb465796eb11c06ddF,0x5109cda72b0603e1bac4631ddebd3104bea6414e686c3f7aa2cb3c65795602f0,USDe,Frax,0xaE4750d0813B5E37A51f7629beedd72AF1f9cA35,94.50,21444544112790984215167,6009238251966955976,0.0250,0.0000
morpho,Ethereum,1,Re7 FRAX,0xBE40491F3261Fd42724F1AEb465796eb11c06ddF,0x3df62177d8dd48708addac57caad778286f104c98a6866817b105795be0605e8,Staked USDe,Frax,0x5D916980D5Ae1737a8330Bf24dF812b2911Aae25,94.50,4866937339242295823,4768804183832894706,88809.7111,87015.7549
morpho,Ethereum,1,Re7 FRAX,0xBE40491F3261Fd42724F1AEb465796eb11c06ddF,0x3c81a7e3cbcdeeecc7d9f7c45ed28ef62d63357cfcc7295e9d2b3368f0386b46,USDe,Frax,0xaE4750d0813B5E37A51f7629beedd72AF1f9cA35,91.50,2532040905638746950,1,0.0250,0.0000
morpho,Ethereum,1,Re7 FRAX,0xBE40491F3261Fd42724F1AEb465796eb11c06ddF,0x8a8650a5ed923712ca86a9b83bd12ea520131c646c4da5de3a443416e1bb8c98,Staked USDe,Frax,0x5D916980D5Ae1737a8330Bf24dF812b2911Aae25,91.50,4882066954276443124,4783936382630104980,89146.5085,87345.7490
morpho,Ethereum,1,Re7 FRAX,0xBE40491F3261Fd42724F1AEb465796eb11c06ddF,0x08cfaaa2e7797b4e1326d1d174dd364c9fb3a2a718623a3b7f97ea1debba47b8,USDe,Frax,0xaE4750d0813B5E37A51f7629beedd72AF1f9cA35,86.00,4846768308166769470,4748631680520241410,88359.4302,86565.7338
morpho,Ethereum,1,Re7 FRAX,0xBE40491F3261Fd42724F1AEb465796eb11c06ddF,0x7e72f1671f1fd2c0900b6ef8bb6b55299d6a58fd398e3b8e05c12e3c429c401b,Staked USDe,Frax,0x5D916980D5Ae1737a8330Bf24dF812b2911Aae25,86.00,4078880931611223265,3980744303973492266,70274.6602,68581.0409
morpho,Ethereum,1,Re7 USDC Core,0x341193ED21711472e71aECa4A942123452bd0ddA,0x96cad5abf2bd0b30de441639a54125b6d1c6ba14c211fdc1d21abe5ec2bef542,Pareto AA Tranche - RockawayXUSDC,USD Coin,0x4bAff53CEEb99640447864A1605966D02fDFB661,91.50,0,0,0.2691,0.0000
morpho,Ethereum,1,Re7 USDC Core,0x341193ED21711472e71aECa4A942123452bd0ddA,0xbfed072faee09b963949defcdb91094465c34c6c62d798b906274ef3563c9cac,Savings rUSD,USD Coin,0xf3FB6f72f1bbD5dFfC03c8c120E7692559643B6d,91.50,218039451343,183508132303,9.3088,7.8343
morpho,Ethereum,1,Re7 USDC Core,0x341193ED21711472e71aECa4A942123452bd0ddA,0x729badf297ee9f2f6b3f717b96fd355fc6ec00422284ce1968e76647b258cf44,Syrup USDC,USD Coin,0x80032f4cb6E3573b9ed61E888AF658E48Fb790cC,91.50,4185284249515,3765773214029,3.9680,3.5700
morpho,Ethereum,1,Re7 USDC Core,0x341193ED21711472e71aECa4A942123452bd0ddA,0x8e7cc042d739a365c43d0a52d5f24160fa7ae9b7e7c9a479bd02a56041d4cf77,Resolv USD,USD Coin,0x8875ceb24E656FCA062759BDCF870F59A2B0187b,91.50,12307951957,9744099535,4.5274,3.5839
